a,b,precursor,type,kf,person
0.24850073,-0.0021079,YFP,4CM,0.205477768608612,elise
0.26788494,0.00031033,YFP,4EM,0.115148173302653,elise
0.4075914,0.04277782,YFP,4Naive,0.004670742563712,elise
0.87985754,0.01023209,mTom,4CM,0,elise
0.84666655,0.00638132,mTom,4EM,0,elise
0.95797172,0.02434038,mTom,4Naive,0,elise
0.45745769,0.00658962,mTom,SK69,0,elise
0.54167951,0.00723575,mTom,LP69,0,elise
0.44886375,0.00665914,YFP,SK69,0.163183785783926,elise
0.25788986,-0.00148293,YFP,LP69,0.216127724129253,elise
0.286,0.001,YFP,4CM,0.205477768608612,arpit
0.289,0.002,YFP,4EM,0.115148173302653,arpit
0.44886375,0.00665914,YFP,SK69,0.163183785783926,arpit
0.25788986,-0.00148293,YFP,LP69,0.216127724129253,arpit
0.372,0.081,YFP,4Naive,0.004670742563712,arpit
0.919,0.03,mTom,4Naive,0,arpit
0.857,0.011,mTom,4CM,0,arpit
0.833,0.007,mTom,4EM,0,arpit
0.45745769,0.00658962,mTom,SK69,0,arpit
0.54167951,0.00723575,mTom,LP69,0,arpit
